date,open,high,low,close,volume,ret1,fwd_ret1,rsi14,macd,macd_hist,bb_pctb,dev25,stoch_k,stoch_d,adx,roc10,ma_gap_5_25,ma_gap_25_75,us_ret,jpy_ret,fut_premium,nikkei_vi,nikkei_vi_chg,vix,vix_chg,dow,key
2021-09-21,30021.25000,30051.00000,29832.51953,29839.71094,76300000,-0.02165,-0.00671,80.83905,315.40578,35.46894,,,5.21292,46.75875,87.63250,0.60627,,,-1.69773,0.24795,-0.08281,,,25.71000,37.56018,1,
2021-09-22,29744.73047,29868.09961,29573.88086,29639.40039,69000000,-0.00671,0.02056,77.78450,256.55932,-18.70201,,,5.36211,27.08525,81.44656,-0.92505,,,-0.08124,-0.48559,-0.08232,,,24.36000,-5.25087,2,
2021-09-24,30141.60938,30276.38086,30110.30078,30248.81055,84600000,0.02056,-0.00029,80.23179,256.14471,-15.29330,,,55.23615,21.93706,76.88823,0.22398,,,1.21347,0.61659,-0.06219,,,18.63000,-23.52217,4,
2021-09-27,30277.82031,30414.60938,30197.40039,30240.06055,74600000,-0.00029,-0.00186,80.09535,252.20284,-15.38814,,,54.52005,38.37277,73.02668,0.77269,,,0.14610,0.45892,-0.04980,,,17.75000,-4.72356,0,
2021-09-28,30142.38086,30207.63086,30001.99023,30183.96094,89800000,-0.00186,-0.02119,79.16586,241.76519,-20.66063,,,49.92887,53.22836,68.67213,-0.65131,,,-0.27764,0.39701,-0.04625,,,18.76000,5.69014,1,
2021-09-29,29611.91992,29679.25977,29329.16016,29544.28906,94700000,-0.02119,-0.00310,69.29165,179.80443,-66.09711,,,16.63500,40.36131,64.86847,-2.96604,,,-2.03641,0.18056,-0.04836,,,23.25000,23.93390,2,
2021-09-30,29569.18945,29622.26953,29311.33984,29452.66016,99000000,-0.00310,-0.02314,67.98359,121.90119,-99.20028,,,10.77916,25.78101,61.37846,-3.96947,,,0.15692,0.50828,-0.04298,,,22.56000,-2.96774,3,
2021-10-01,29235.10938,29393.66992,28680.73047,28771.07031,82200000,-0.02314,-0.01134,59.05327,20.77438,-160.26167,,,4.85369,10.75595,59.39354,-5.70483,,,-1.19097,0.36582,-0.03848,,,23.14000,2.57092,4,
2021-10-04,29044.47070,29046.06055,28343.58008,28444.89062,76400000,-0.01134,-0.02189,55.30892,-84.71281,-212.59909,-0.12175,,4.89180,6.84155,58.06060,-6.19473,,,1.14915,-0.42435,-0.01719,,,21.10000,-8.81590,0,
2021-10-05,28050.39062,28058.66992,27460.28906,27822.11914,88200000,-0.02189,-0.01054,48.92978,-216.07385,-275.16810,-0.19472,,12.24749,7.33099,57.80846,-8.78009,,,-1.29859,-0.46115,0.63935,,,22.96000,8.81516,1,
2021-10-06,28033.91016,28209.82031,27293.61914,27528.86914,100200000,-0.01054,0.00542,46.22614,-339.92283,-319.21367,-0.12350,,7.53767,8.22565,57.72105,-7.74418,,,1.05245,0.01893,-0.01405,,,21.30000,-7.22996,2,
